match_id,game_identifier,scheduled,venue_name,venue_city,home_id,home_name,home_alias,home_market,away_id,away_name,away_alias,away_market,home_games_played,home_insufficient_data,home_recent_points,home_recent_field_goals_pct,home_recent_three_points_pct,home_recent_free_throws_pct,home_recent_assists,home_recent_steals,home_recent_blocks,home_recent_offensive_rebounds,home_recent_defensive_rebounds,home_recent_wins,home_recent_losses,home_recent_win_pct,home_recent_ppg,home_recent_opp_ppg,home_recent_point_diff,home_recent_scoring_trend,away_games_played,away_insufficient_data,away_recent_points,away_recent_field_goals_pct,away_recent_three_points_pct,away_recent_free_throws_pct,away_recent_assists,away_recent_steals,away_recent_blocks,away_recent_offensive_rebounds,away_recent_defensive_rebounds,away_recent_wins,away_recent_losses,away_recent_win_pct,away_recent_ppg,away_recent_opp_ppg,away_recent_point_diff,away_recent_scoring_trend,scoring_advantage_home,form_advantage_home,defensive_advantage_home,ball_control_advantage_home,home_points,away_points,total_points,point_differential,home_won,away_won
0c6d20d6-f739-4803-a8f0-18380c8122b3,2025-04-12_LAC@SAC,2025-04-12T02:00:00Z,Golden 1 Center,Sacramento,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Sacramento Kings,SAC,,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA Clippers,LAC,,5,False,119.8,48.72,39.5,80.66,24.2,6.2,3.6,12.8,31.4,3,2,0.6,119.8,114.4,5.4,down,5,False,123.8,52.64,44.94,82.16,28.8,9.4,2.8,9.6,33.6,5,0,1.0,123.8,105.4,18.4,down,-4.0,-0.4,-9.0,-4.6,100,101,201,-1,0,1
31bb3d26-2467-4879-a62b-0f35c982a4fa,2025-04-12_GSW@POR,2025-04-12T02:00:00Z,Moda Center,Portland,583ed056-fb46-11e1-82cb-f4ce4684ea4c,Portland Trail Blazers,POR,,583ec825-fb46-11e1-82cb-f4ce4684ea4c,Golden State Warriors,GSW,,5,False,119.6,45.22,29.66,77.52,25.0,10.6,5.2,15.4,34.4,3,2,0.6,119.6,115.2,4.4,stable,5,False,116.2,45.68,39.06,78.36,28.6,10.6,2.2,15.0,31.0,3,2,0.6,116.2,107.0,9.2,stable,3.4,0.0,-8.2,-3.6,86,103,189,-17,0,1
cf3438b7-b325-49a0-9976-1fe8351cc2dc,2025-04-12_SAS@PHX,2025-04-12T02:00:00Z,Mortgage Matchup Center,Phoenix,583ecfa8-fb46-11e1-82cb-f4ce4684ea4c,Phoenix Suns,PHX,,583ecd4f-fb46-11e1-82cb-f4ce4684ea4c,San Antonio Spurs,SAS,,5,False,106.2,44.48,29.56,80.42,24.6,9.2,2.4,12.6,24.8,0,5,0.0,106.2,125.2,-19.0,up,5,False,113.2,46.42,36.46,76.04,26.4,7.6,4.4,9.6,34.0,2,3,0.4,113.2,114.6,-1.4,stable,-7.0,-0.4,-10.6,-1.8,117,98,215,19,1,0
4a6f8cd3-9284-41fc-bd84-10f21e5272e8,2025-04-12_OKC@UTA,2025-04-12T01:30:00Z,Delta Center,Salt Lake City,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Utah Jazz,UTA,,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,Oklahoma City Thunder,OKC,,5,False,118.0,44.68,33.4,82.34,25.4,9.8,3.4,13.2,30.8,1,4,0.2,118.0,133.2,-15.2,down,5,False,118.0,47.54,36.88,78.16,23.8,9.6,5.4,10.4,29.8,3,2,0.6,118.0,117.2,0.8,down,0.0,-0.4,-16.0,1.6,111,145,256,-34,0,1
48ac10b8-eaca-42e9-a089-2457d6815bcc,2025-04-12_MEM@DEN,2025-04-12T01:00:00Z,Ball Arena,Denver,583ed102-fb46-11e1-82cb-f4ce4684ea4c,Denver Nuggets,DEN,,583eca88-fb46-11e1-82cb-f4ce4684ea4c,Memphis Grizzlies,MEM,,5,False,118.6,50.44,33.5,76.52,29.6,6.2,5.4,10.0,36.6,1,4,0.2,118.6,122.4,-3.8,up,5,False,118.6,46.66,38.76,80.14,22.8,7.2,3.6,11.8,36.4,3,2,0.6,118.6,117.2,1.4,down,0.0,-0.4,-5.2,6.8,117,109,226,8,1,0
5abb9d7b-38fc-4ee1-80b9-d26e9aa5b3cb,2025-04-12_BKN@MIN,2025-04-12T01:00:00Z,Target Center,Minneapolis,583eca2f-fb46-11e1-82cb-f4ce4684ea4c,Minnesota Timberwolves,MIN,,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn Nets,BKN,,5,False,120.6,49.74,35.88,77.06,27.6,5.2,5.0,12.6,32.8,4,1,0.8,120.6,114.6,6.0,stable,5,False,108.0,44.6,36.64,75.86,29.6,8.8,3.2,8.0,32.2,2,3,0.4,108.0,116.2,-8.2,down,12.6,0.4,1.6,-2.0,117,91,208,26,1,0
0ac32f83-108c-4055-b9cf-bef06dfa24f6,2025-04-12_TOR@DAL,2025-04-12T00:30:00Z,American Airlines Center,Dallas,583ecf50-fb46-11e1-82cb-f4ce4684ea4c,Dallas Mavericks,DAL,,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,Toronto Raptors,TOR,,5,False,104.2,47.96,31.86,70.18,24.6,5.8,5.0,8.2,33.6,1,4,0.2,104.2,118.4,-14.2,up,5,False,114.4,46.02,36.92,73.9,31.0,10.8,3.2,13.4,30.8,2,3,0.4,114.4,114.2,0.2,down,-10.2,-0.2,-4.2,-6.4,124,102,226,22,1,0
51d8c55e-3a67-41f9-a50e-2b21be0f2e0a,2025-04-12_WAS@CHI,2025-04-12T00:00:00Z,United Center,Chicago,583ec5fd-fb46-11e1-82cb-f4ce4684ea4c,Chicago Bulls,CHI,,583ec8d4-fb46-11e1-82cb-f4ce4684ea4c,Washington Wizards,WAS,,5,False,123.6,51.36,39.06,86.52,29.2,7.4,4.2,10.4,38.0,4,1,0.8,123.6,118.8,4.8,up,5,False,100.8,43.5,32.94,78.12,20.2,5.2,3.8,10.4,31.2,1,4,0.2,100.8,114.0,-13.2,up,22.8,0.6,-4.8,9.0,119,89,208,30,1,0
73da29e9-5833-4859-8c02-a31ea33f6f67,2025-04-12_MIA@NOP,2025-04-12T00:00:00Z,Smoothie King Center,New Orleans,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,New Orleans Pelicans,NOP,,583ecea6-fb46-11e1-82cb-f4ce4684ea4c,Miami Heat,MIA,,5,False,107.6,47.0,32.82,70.34,28.2,8.2,3.6,11.0,33.0,0,5,0.0,107.6,120.8,-13.2,down,5,False,115.0,46.7,40.5,79.72,26.0,8.4,4.0,11.8,32.0,2,3,0.4,115.0,111.6,3.4,up,-7.4,-0.4,-9.2,2.2,104,153,257,-49,0,1
227e7afa-71e8-400d-9b8b-d2a54ab07eb5,2025-04-11_CHA@BOS,2025-04-11T23:30:00Z,TD Garden,Boston,583eccfa-fb46-11e1-82cb-f4ce4684ea4c,Boston Celtics,BOS,,583ec97e-fb46-11e1-82cb-f4ce4684ea4c,Charlotte Hornets,CHA,,5,False,109.0,46.1,33.26,79.54,26.2,4.6,4.8,14.4,32.6,3,2,0.6,109.0,106.0,3.0,up,5,False,104.0,46.04,30.32,76.1,21.4,4.0,2.6,8.0,33.6,0,5,0.0,104.0,125.0,-21.0,up,5.0,0.6,19.0,4.8,130,94,224,36,1,0
